scenario,repeat,alpha,n,true_shift_tv,estimate_error_tv,em_iters,em_converged,accuracy,weighted_f1,macro_f1,caveat
graded,0,0.75,4000,45.4,7.59,71,True,85.32,84.72,71.98,duplicates rare rows - the split holds 2 Lipstick rows against a ~5% demand
graded,0,1.0,4000,45.4,7.59,71,True,85.15,84.54,70.89,duplicates rare rows - the split holds 2 Lipstick rows against a ~5% demand
graded,1,0.0,4000,43.42,6.84,49,True,84.5,83.72,69.8,duplicates rare rows - the split holds 2 Lipstick rows against a ~5% demand
graded,1,0.25,4000,43.42,6.84,49,True,85.28,84.58,72.63,duplicates rare rows - the split holds 2 Lipstick rows against a ~5% demand
graded,1,0.5,4000,43.42,6.84,49,True,85.85,85.04,72.44,duplicates rare rows - the split holds 2 Lipstick rows against a ~5% demand
graded,1,0.75,4000,43.42,6.84,49,True,86.58,85.78,73.63,duplicates rare rows - the split holds 2 Lipstick rows against a ~5% demand
graded,1,1.0,4000,43.42,6.84,49,True,86.62,85.86,73.57,duplicates rare rows - the split holds 2 Lipstick rows against a ~5% demand
graded,2,0.0,4000,44.34,7.15,54,True,83.5,82.51,66.0,duplicates rare rows - the split holds 2 Lipstick rows against a ~5% demand
graded,2,0.25,4000,44.34,7.15,54,True,84.45,83.66,68.01,duplicates rare rows - the split holds 2 Lipstick rows against a ~5% demand
graded,2,0.5,4000,44.34,7.15,54,True,84.82,84.08,68.19,duplicates rare rows - the split holds 2 Lipstick rows against a ~5% demand
graded,2,0.75,4000,44.34,7.15,54,True,85.38,84.63,68.42,duplicates rare rows - the split holds 2 Lipstick rows against a ~5% demand
graded,2,1.0,4000,44.34,7.15,54,True,85.8,85.06,69.22,duplicates rare rows - the split holds 2 Lipstick rows against a ~5% demand
graded,3,0.0,4000,44.69,6.56,50,True,85.12,84.25,68.74,duplicates rare rows - the split holds 2 Lipstick rows against a ~5% demand
graded,3,0.25,4000,44.69,6.56,50,True,85.7,84.91,70.43,duplicates rare rows - the split holds 2 Lipstick rows against a ~5% demand
graded,3,0.5,4000,44.69,6.56,50,True,86.3,85.5,70.85,duplicates rare rows - the split holds 2 Lipstick rows against a ~5% demand
graded,3,0.75,4000,44.69,6.56,50,True,86.45,85.73,71.22,duplicates rare rows - the split holds 2 Lipstick rows against a ~5% demand
graded,3,1.0,4000,44.69,6.56,50,True,86.83,86.08,70.97,duplicates rare rows - the split holds 2 Lipstick rows against a ~5% demand
graded,4,0.0,4000,43.9,6.68,48,True,84.5,83.98,69.8,duplicates rare rows - the split holds 2 Lipstick rows against a ~5% demand
