query_id,articleType,P@1,R@1,AP@1,nDCG@1,P@5,R@5,AP@5,nDCG@5,P@10,R@10,AP@10,nDCG@10
19394,Jackets,0.0,0.0,0.0,0.08454209345713619,0.0,0.0,0.0,0.0694669343941805,0.0,0.0,0.0,0.07232238514845778
18135,Lounge Shorts,0.0,0.0,0.0,0.0,0.2,0.03225806451612903,0.06666666666666667,0.10554042685544451,0.1,0.03225806451612903,0.03333333333333333,0.08297937418015418
49655,Skirts,0.0,0.0,0.0,0.01915224298978878,0.0,0.0,0.0,0.019152242989788775,0.0,0.0,0.0,0.020398045079737484
49233,Caps,1.0,0.004048582995951417,1.0,0.47688119626122066,1.0,0.020242914979757085,1.0,0.655151683280503,0.8,0.032388663967611336,0.7621031746031746,0.5279558153861448
50467,Trunk,0.0,0.0,0.0,0.01915224298978878,0.0,0.0,0.0,0.019152242989788775,0.0,0.0,0.0,0.023460837370596278
32547,Deodorant,0.0,0.0,0.0,0.0,0.4,0.007575757575757576,0.18,0.17136911125462528,0.3,0.011363636363636364,0.13999999999999999,0.14859348762504207
49687,Ties,1.0,0.005154639175257732,1.0,0.47688119626122066,1.0,0.02577319587628866,1.0,0.47688119626122066,1.0,0.05154639175257732,1.0,0.5562197635101209
48590,Earrings,0.0,0.0,0.0,0.01915224298978878,0.2,0.006134969325153374,0.1,0.2401290083393017,0.3,0.018404907975460124,0.10833333333333332,0.2699363878172587
50652,Lounge Shorts,1.0,0.03225806451612903,1.0,1.0,0.2,0.03225806451612903,0.2,0.4327110533086934,0.1,0.03225806451612903,0.1,0.34002744638491844
38835,Dresses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016612878821538626,0.0,0.0,0.0,0.013500605116704749
18254,Kurtas,0.0,0.0,0.0,0.04623760747755864,0.4,0.0014275517487508922,0.2333333333333333,0.2961722303927128,0.2,0.0014275517487508922,0.11666666666666665,0.1949303593346317
2354,Basketballs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03384284279958026,0.0,0.0,0.0,0.030148357515450887
50190,Camisoles,0.0,0.0,0.0,0.01915224298978878,0.0,0.0,0.0,0.037279576571663406,0.0,0.0,0.0,0.053178405893243574
46060,Bracelet,0.0,0.0,0.0,0.01915224298978878,0.0,0.0,0.0,0.033144772842845754,0.0,0.0,0.0,0.02701395663542272
33228,Laptop Bag,1.0,0.014084507042253521,1.0,0.6935641121633795,0.8,0.056338028169014086,0.6433333333333333,0.6820828766436015,0.5,0.07042253521126761,0.3716666666666667,0.5154721229853285
51617,Jeggings,0.0,0.0,0.0,0.01915224298978878,0.0,0.0,0.0,0.02927124611899133,0.3,0.13043478260869565,0.075,0.26714876469675874
49137,Kajal and Eyeliner,0.0,0.0,0.0,0.01915224298978878,0.0,0.0,0.0,0.02927124611899133,0.3,0.25,0.08273809523809524,0.2605207036753609
44002,Perfume and Body Mist,0.0,0.0,0.0,0.01915224298978878,0.2,0.00199203187250996,0.1,0.1755703104993524,0.1,0.00199203187250996,0.05,0.1284424899540493
27968,Innerwear Vests,0.0,0.0,0.0,0.04623760747755864,0.0,0.0,0.0,0.015681956443449677,0.0,0.0,0.0,0.0101765166991332
3216,Sandals,1.0,0.0012836970474967907,1.0,0.47688119626122066,0.6,0.0038510911424903724,0.4833333333333333,0.4301596751776127,0.6,0.007702182284980745,0.4279761904761905,0.38546386188665027
30714,Churidar,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.03135768551906386,0.0,0.0,0.0,0.04170740224849648
2250,Flip Flops,1.0,0.001287001287001287,1.0,0.6935641121633795,1.0,0.006435006435006435,1.0,0.751022197751605,0.9,0.011583011583011582,0.866388888888889,0.6211991569509988
